Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundance: F3: Sample,Found in Sample: [S3] F3: Sample,# Protein Groups,Modifications
FALSE,High,Master Protein,Q99460,26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2,0,1116.367,69,74,2444,74,953,105.8,5.39,6161.43,74,0,7602891269,High,1,Acetyl [N-Term]; Acetyl [K165]; Phospho [T273; S290; S294; S305; T311; S315]
FALSE,High,Master Protein,Q13200,26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,0,1194.783,73,78,2135,78,908,100.1,5.2,5167.82,78,0,11836665625,High,1,Phospho [S16; S361]; Acetyl [K8; K31]; Acetyl [N-Term]
FALSE,High,Master Protein,P43686,26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2,0,717.752,91,49,1732,48,418,47.3,5.21,4338.11,49,0,5405098045,High,1,Phospho [S21; T25; S28]; Acetyl [K159]; Acetyl [N-Term]
FALSE,High,Master Protein,P62195,26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1,0,556.94,79,40,1494,38,406,45.6,7.55,3909.08,40,0,5498109318,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,O00231,26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,0,496.061,78,41,1473,41,422,47.4,6.48,3238.42,41,0,5442531001,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P62191,26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1,0,710.609,77,51,1380,49,440,49.2,6.21,3808.61,51,3,8228473952,High,1,
FALSE,High,Master Protein,O43242,26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2,0,597.785,69,49,1326,49,534,60.9,8.44,3280.45,49,0,5238629091,High,1,Acetyl [K38]
FALSE,High,Master Protein,P35998,26S proteasome regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMC2 PE=1 SV=3,0,560.589,84,46,1190,45,433,48.6,5.95,2652.21,46,0,8631727574,High,1,Acetyl [K169]; Met-loss [N-Term]
FALSE,High,Master Protein,O00232,26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,0,519.976,79,48,1064,48,456,52.9,7.65,2532.07,48,0,3538263369,High,1,Phospho [T146; T148]
FALSE,High,Master Protein,P62333,26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,0,409.373,74,34,958,34,389,44.1,7.49,2408.22,34,0,2941621080,High,1,
FALSE,High,Master Protein,P17980,26S proteasome regulatory subunit 6A OS=Homo sapiens OX=9606 GN=PSMC3 PE=1 SV=3,0,569.254,84,39,955,39,439,49.2,5.24,2195.82,39,0,3848897056,High,1,Acetyl [N-Term]; Phospho [S9]
FALSE,High,Master Protein,Q15008,26S proteasome non-ATPase regulatory subunit 6 OS=Homo sapiens OX=9606 GN=PSMD6 PE=1 SV=1,0,397.117,73,39,866,39,389,45.5,5.62,1875.54,39,0,3497549255,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,P51665,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2,0,257.931,56,20,822,20,324,37,6.77,2777.25,20,0,1961031052,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,Q9UNM6,26S proteasome non-ATPase regulatory subunit 13 OS=Homo sapiens OX=9606 GN=PSMD13 PE=1 SV=2,0,346.119,69,29,733,29,376,42.9,5.81,1665.45,29,0,4045780488,High,1,
FALSE,High,Master Protein,P25787,Proteasome subunit alpha type-2 OS=Homo sapiens OX=9606 GN=PSMA2 PE=1 SV=2,0,253.789,66,17,642,17,234,25.9,7.43,2002.69,17,0,896212087.3,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,P28066,Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,0,283.116,68,15,597,15,241,26.4,4.79,1350.89,15,0,2006188207,High,1,
FALSE,High,Master Protein,O00487,26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1,0,422.769,68,19,590,19,310,34.6,6.52,1356.73,19,0,3576031289,High,1,
FALSE,High,Master Protein,P25786,Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1,0,279.69,79,23,580,23,263,29.5,6.61,1381.45,23,0,2837576363,High,1,
FALSE,High,Master Protein,P54578,Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3,0,505.474,68,36,576,36,494,56,5.3,1526.36,36,0,1653614086,High,1,Met-loss [N-Term]
FALSE,High,Master Protein,P28074,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,0,304.326,65,20,566,20,263,28.5,6.92,1523.76,20,0,1913428478,High,1,
FALSE,High,Master Protein,P20618,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,0,280.817,62,16,562,16,241,26.5,8.13,1248.42,16,0,1883802328,High,1,
